country,source,sector,gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ANNEXI,UNFCCC_AI,Agriculture,Aggregate GHGs,1704.7880005224984,1648.4453871626213,1606.0138836040724,1601.057442928034,1552.5922458830987,1534.835798214752,1527.442602656361,1497.817319681456,1487.3214038684914,1464.9520032684045,1445.1985658304307,1455.0820369358478,1445.2803985883027,1433.2004877468696,1443.4341253917908,1428.4786511904108,1416.308104868762,1433.5279406616205,1423.4763088808272,1416.8318077930421,1416.474263272039,1411.3447572865732,1400.2785534228053,1456.3571681893873,1471.5424632003542,1475.6422753142413,1473.7869872236213,1485.896265841096,1500.0863858075575,1500.8144420858598,1476.4072050394775
ANNEXI,UNFCCC_AI,Agriculture,CH4,863.6970544227221,849.1674075846113,834.769139445385,823.673298484441,817.5132763586721,805.5422716636975,794.7596967061572,774.8050582222158,765.3281594648112,757.0767864438062,753.648757601236,744.6938176350496,740.7549823024332,733.4535674064955,724.7268161324489,728.9662855485294,722.7846704895342,728.5481289974814,715.7726526377551,711.1808180739091,707.0974509429897,703.3075431391171,708.258286396505,706.4420611282264,706.7368794364645,712.1654910020584,717.7509796815306,726.26164011738,730.2958414404711,724.1342454582544,722.8368394488255
ANNEXI,UNFCCC_AI,Agriculture,CO2,41.443982784139024,36.44290392517019,33.084012856272984,29.78082919878707,26.840861827097694,26.76807830890547,25.214616412147507,24.91166649164765,25.870460217637934,25.92019103875314,25.763617255431594,25.5791751657799,26.57687900946919,27.507293582212455,26.48160279768067,26.757152824100192,26.088517701581413,26.906489112586854,27.28537425102056,25.502958889689282,27.468600771661137,27.213644305160113,30.21219468892133,28.722090960059433,29.364094096730916,29.229262267922888,29.642398047093607,29.84284876813787,29.11603688256398,28.905011415256553,29.948577402711013
ANNEXI,UNFCCC_AI,Agriculture,N2O,799.646963315637,762.8350756528396,738.1607313024144,747.6033152448059,708.2381076973286,702.525448242149,707.4682895380562,698.1005949675923,696.1227841860423,681.955025785845,665.786190973763,684.8090441350182,677.9485372764002,672.2396267581616,692.225706461661,672.7552128177814,667.4349166776466,678.0733225515523,680.4182819920516,680.1480308294435,681.9082115573881,680.8235698422963,661.808072337379,721.1930161011015,735.4414896671589,734.24752204426,726.3936094949971,729.791776955578,740.6745074845222,747.7751852123489,723.621788187941
ANNEXI,UNFCCC_AI,Energy,Aggregate GHGs,15168.88274664575,14908.041102221954,14427.430302255343,14275.728804532764,14062.533167770762,14118.617356100769,14417.21041149767,14302.986264828523,14298.573027882594,14338.398032247356,14561.816142083528,14580.091328134335,14601.177829883596,14838.698321901351,14941.34537941623,14987.40912059033,14969.12438635268,15073.582703794811,14747.028494650694,13826.37802999486,14239.544810131703,14071.990239421444,13878.879039674845,13839.810604498412,13608.596430100544,13435.672544380091,13287.658522415799,13295.02959750951,13404.235074414177,13055.489140060728,11942.405628341205
ANNEXI,UNFCCC_AI,Energy,CH4,1054.6529925046123,1020.5033529922501,991.4105580318509,956.3589129274364,919.7595892608554,901.0359028036845,895.4832914652094,893.5072043592656,870.9566142875185,862.136718768992,843.5593349595629,837.9940729809255,810.2101337837895,816.7928429316535,813.307453912765,805.8279095736916,813.9034864951427,806.1808910477503,811.8331821222769,765.3297632006794,773.3494114161174,758.3392794774603,748.0960905353207,735.3466067278268,717.8009321076072,695.4695210350521,680.4176897234122,680.4396684542835,690.4726833357349,683.4924809945524,638.6354870091433
ANNEXI,UNFCCC_AI,Energy,CO2,13977.069355741804,13750.587059428099,13298.32960383522,13179.745873397791,13001.011537049872,13071.3320010251,13372.47109464261,13258.153244408362,13275.418827172156,13327.022514658527,13570.208593059853,13596.350995156008,13647.17343942507,13877.584672094568,13984.792410293727,14041.739010688714,14015.469757637331,14132.28603040193,13803.384913721387,12936.807405407699,13340.858534286215,13191.065396020393,13015.247691918255,12988.951633780225,12777.334343601164,12630.107161281145,12499.177536039657,12507.74503988739,12608.686146794636,12270.879752469864,11210.185445862233
ANNEXI,UNFCCC_AI,Energy,N2O,137.16039839933558,136.95068980160673,137.69014038827302,139.6240182075375,141.7620414600345,146.24945227198128,149.25602538985063,151.32581606089704,152.19758642291956,149.23879881983672,148.04821406411065,145.7462599973989,143.79425667473592,144.32080687512973,143.24551520973947,139.84220032792211,139.75114222020443,135.1157823451304,131.8103988070292,124.2408613864807,125.33686442937145,122.58556392359205,115.5352572212689,115.51236399036229,113.46115439177251,110.0958620638953,108.06329665273047,106.84488916783722,105.0762442838064,101.11690659631152,93.58469546982802
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate F-gases,285.84292595661924,278.1162514426065,270.53648247014206,263.5732323736564,271.9769786815331,305.10615485200555,318.08821429550665,332.1982340158246,348.036672128524,327.42412467733914,326.3624765071085,301.93057513448304,303.2094891768992,292.1056872964743,304.0470293860924,314.15793611331094,321.398834279397,339.0562571632806,347.2777824759834,333.94417195655,353.6650862668503,366.4203385847858,381.94505832774,393.11527053400687,403.0190461778859,401.59310319764904,409.8735518327089,424.5665919415545,432.36438621647204,430.5520850412716,424.89860909849915
ANNEXI,UNFCCC_AI,Industrial Processes and Product Use,Aggregate GHGs,1543.3018391130247,1452.7824312955984,1403.0144453453418,1343.0348761879911,1353.3656738058633,1409.8839590985795,1410.8964386867412,1426.665836982197,1386.1302572675563,1351.5985449603993,1380.2989646677229,1314.4784354824967,1312.7436307517708,1323.5979751873017,1377.0804004609813,1376.8144247268174,1406.380360275691,1446.360749972287,1380.7086508543098,1185.0269309263183,1281.363359930999,1315.7426592832783,1312.4152196963612,1317.9913361444,1327.0951361964019,1307.715426172111,1306.8719529526684,1327.7690347823109,1342.2359512947799,1324.5674943474323,1300.4094814664843
