area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MDG,FAOSTAT_3,total_fertilizers,10855,9472,7697,11083,11266,12546,16669,9500,8677,7874,9111,9051,6204.84,6960.88,6677.39,16702.12,7579.35,9632.87,12820.52,7815.67,8931.86,12611.02,21115.02,14399.75,26203.43,22593.29,17966.77,38985.56,37802.72,35836.26
MDV,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,18,24,31,89,353,262,67,394,368,143,525.72,754.74,235.51,249.91,367.32,441.66,448.4,448.4
MEX,FAOSTAT_3,total_fertilizers,1798400,1619400,1616000,1591900,1647900,1286000,1636400,1644100,1804300,1776000,1832000,1865378,1512997,1578903,1699546,1844796,1612814,1764885,1244617,1240381,1764380,1674532,2208804.99,2200628.3,1547838.68,1602183.86,2186326.67,2400182.94,2460499.9,2158772.76
MKD,FAOSTAT_3,total_fertilizers,,,,7600,58923,37227,43400,46700,39200,43500,39900,22300,18869,18921,24655,27786,25228,28930,23811,23813,27784,26338,23844.1,28747.34,29748.78,27546.4,32994.99,28767.68,25434.25,25666.3
MLI,FAOSTAT_3,total_fertilizers,15200,15000,27300,25000,25000,27000,27300,47800,45900,49800,39847,42000,90232.54,76430.44,81736.79,83623.79,101276.21,78561.57,104892.2,110385.06,115877.91,61951.05,59184.15,93530.48,134901.43,176272.38,217643.32,158687.02,158687.02,158630.75
MLT,FAOSTAT_3,total_fertilizers,778,700,1200,1000,1000,1000,1000,1000,1499,713,750,700,929,876,1170,866,1184,886,592,434,579,834,2115.15,3551.95,4006.48,4297.24,2399.06,885.35,1522.37,1041.19
MMR,FAOSTAT_3,total_fertilizers,75532,83059,67152,86301,144750,180047,173893,177824,171805,163075,205700,95700,42309,101554,197364,65596,93192,166830,81378,67316,71755,161738,168096.62,210391.96,263270.98,145635.43,205201.03,428471.47,546794.35,698716.41
MNE,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,,,,,3254,2720,2559,1960,2469,2171,2148.43,2534.24,2417.48,2283.47,2566.87,2149.52,2270.53,2270.53
MNG,FAOSTAT_3,total_fertilizers,14600,16000,15100,1000,500,2000,2000,6000,4200,2800,3400,3200,4448,4017,5873,3657,6514,6018,6941,7570,11080,13965,16940.82,25379.57,19259.83,23195,25822.65,36736.79,42165.48,46818.28
MOZ,FAOSTAT_3,total_fertilizers,2600,5100,4900,3200,6300,7800,8100,6500,8000,8000,14300,24900,26600,3313,10395,7137,22751,13836,61653,22184,46327,41561,31750.3,33397.18,42567.58,23634.94,25807.26,29033.43,37918.25,37918.25
MUS,FAOSTAT_3,total_fertilizers,27733,27575,26638,26005,29208,31891,37727,33456,33101,35300,37500,28550,28335,26352,26769,29933,21403,22860,18302,18237,13056,18972,20888.25,18611.12,23496.79,13787.71,20494.35,19321.01,14033.52,14606.19
MWI,FAOSTAT_3,total_fertilizers,48000,70000,73800,74000,21283,43519,58200,56800,50200,50100,49791,27482,84684,93232,103218,97574,121521,125156,120303,107960,130893,106282,92390.13,103719.58,143193.76,153557.87,88230.48,128054.41,129304.66,117300.35
MYS,FAOSTAT_3,total_fertilizers,909500,941000,964900,1031000,1157300,1092000,1131000,1252000,1406000,1323800,1188275,1130717,1144984.14,1169391.99,1706663.98,1574357.92,1791932.86,1902081.6,1837074.61,1100176.38,1851054.58,1890163.1,1664584.29,1594054.16,1842417.25,1564923.2,1647138.61,1659960.21,1612428.01,1612428.01
NAM,FAOSTAT_3,total_fertilizers,,,,,,,,,100,300,300,300,3185,1150,2612,1556,2314,1972,229,1272,3547,5284,12027.17,8688.97,4910.93,11615.89,20885.37,20029.49,21811.45,20404.15
NER,FAOSTAT_3,total_fertilizers,2299,530,1400,1500,6115,9979,9000,700,500,4188,4524,4982,8541,4126,3385,5475,7459,5297,2289,5267,7490,7576,14680.39,10704.13,16787.29,6782.7,6755.12,6755.12,6755.27,12297.42
NGA,FAOSTAT_3,total_fertilizers,400380,429200,440000,461000,296000,183000,173500,137700,163200,167700,187500,221000,153982,214935,159079,259104,369431,155587,211566,168353,403051,223084,303404.4,306617.88,323063.69,287543.32,387843.9,733900,686200,686200
NIC,FAOSTAT_3,total_fertilizers,40010,34432,31300,27000,21800,31000,40680,35673,38600,35942,28900,19314,56817,65386,64302,56227,60687,56646,46084,57241,53181,77514,76914,51767,76617,87071.44,89003.12,128467.1,87592.44,87148.79
NLD,FAOSTAT_3,total_fertilizers,560600,560759,545555,519064,534000,535000,527024,508000,485000,471000,418000,416000,392802,397092,402871,375303,377796,320207,285538,251199,299955,248292,293000,240003,259006.66,278010.34,299853,301309,280029,262177
NOR,FAOSTAT_3,total_fertilizers,209590,207866,205724,205800,207000,210000,209000,205000,201000,198000,193000,176275,180499,185965,187035,188662,185687,187928,180477,149548,140355,157186,152086,154140,157218,164893,164576,159965,163710,168631
NPL,FAOSTAT_3,total_fertilizers,72512,81100,82003,73536,93000,93699,103000,107500,121500,94400,73014,72526,38950,11711,18458,8137,12751,3604,3030,40046,54689,77446,56540,115097,142400.7,156655.06,157853.58,138475.4,183647,184473.76
NRU,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.05
NZL,FAOSTAT_3,total_fertilizers,343100,438500,534500,625631,647000,682600,660000,647700,661500,716000,812730,901065,758119.8,852416.4,892211.8,952984.2,832733.6,837575,779869.2,626391,699368,764004.8,766437,748209.4,844529,853710.6,832301.4,893961.2,920984.2,915802.6
OMN,FAOSTAT_3,total_fertilizers,9479,8147,8000,9000,7600,7800,6707,5430,8154,7324,5756,10404,12034.03,6359.87,14278.55,16737.68,20677.3,16859.89,24260.15,15993.94,18600.76,16249.3,17703.14,18538.08,18648.11,20705.53,25649.82,23055.77,24343.08,24605.21
PAK,FAOSTAT_3,total_fertilizers,1892899,1884133,2147915,2146780,2183572,2515124,2412979,2659334,2578052,2833000,2962500,2944450,3052840,3149260,3357710,3725496,3812141,3574021,3510296,4246113,4064776,3868533,3549038,4134858,4104960,4179136,4480006,4758868,4758868,4652323
PAN,FAOSTAT_3,total_fertilizers,38662,25649,35494,32181,29950,27700,44300,36387,39876,34003,31183,29200,22141,28034,23104,18862,20734,18408,19337,25675,36272,21149,43353.24,50079.13,33330.12,42102.76,25820.4,33156.57,32264.15,29513.43
PER,FAOSTAT_3,total_fertilizers,105256,75652,80572,138697,174900,153300,185300,214900,238125,238825,254270,314486,306551,315614,329912,301513,339974,403256,298483,385209,365693,408016,391703.26,398145.49,405622.92,445795.52,447971.15,539478.77,430135.17,507182.09
PHL,FAOSTAT_3,total_fertilizers,587092,447818,505400,565490,600198,598407,736800,809195,628434,743764,734550,781415,687645,829972,879409,783445,740151,842740,572103,667949,802608,789494,660400,871341.47,879550.67,779376.95,948204.79,1188426.81,944716,1092757.69
PNG,FAOSTAT_3,total_fertilizers,12300,10700,12800,13000,13000,13000,13000,13100,8200,9300,11700,11800,6856,8519,17670,17138,14722,18962,21211,31156,32845,25643,32240.64,29629.6,32601.46,31399.1,33616.09,36981.61,43599.07,39254.18
POL,FAOSTAT_3,total_fertilizers,1541400,1008700,1192200,1282147,1428149,1511218,1596083,1700200,1557160,1526500,1615100,1574200,1511700,1622100,1628400,1966100,1970700,2142000,1899400,1771300,1954400,1883800,1943400,1935300,1792200,1895400,2049800,2076600,1905400,1960918
PRT,FAOSTAT_3,total_fertilizers,278400,258000,242000,250000,248000,244000,258000,236000,252000,237000,219000,208000,197000,186000,174000,167000,170194,233558,189729,142395,170939,149303,169540,190802,209786.23,198721.74,184032.98,176949.32,171442.17,176115.77
PRY,FAOSTAT_3,total_fertilizers,17923,20571,21897,20900,22900,23000,33000,59000,71832,65446,65200,66800,153168,217265,264282,227540,258160,343292,280663,252170,340284,420330,367225.33,435359.34,505248.8,468464.92,529677.93,543456.16,568348.1,537620.14
QAT,FAOSTAT_3,total_fertilizers,1380,1500,1500,2000,6000,6000,1172,1165,1000,800,500,900,1511,1000,1000,1000,1000,1000,4600,1120,4600,2200,2200,4500,4400,2300,3700,3600,5000,5000
ROU,FAOSTAT_3,total_fertilizers,1212500,463000,553000,602000,374100,363400,422000,315000,360000,237000,304279,369417,326123,362260,380004,461392,362884,387216,397985,426207,480588,486944,437972,491831,452239,532702,514126,581470,722685,749551
RUS,FAOSTAT_3,total_fertilizers,,,5510000,3851000,1510000,1750000,1580000,1550000,1264000,1361000,1420000,1602700,1418971,1348580,1394880,1436120,1517330,1732810,1932120,1901990,1912870,1969160,1877480,1861020,1934280,2026990,2273277,2472916,2532016,2748227
RWA,FAOSTAT_3,total_fertilizers,2989,1583,690,1400,,,300,400,300,300,300,300,2449,2449,2035,3400,3886,8824,10753,1444,94,114,5834.28,13211.29,14500.05,22697.35,11298.43,22422.11,18432.75,29823.26
SAU,FAOSTAT_3,total_fertilizers,489000,508000,538600,455000,360000,284000,317000,321000,330000,347000,386200,383760,365500,382200,399000,335700,366000,389500,259000,230000,242000,283500,309000,286200,274800,320400,315700,299100,300600,300600
SDN,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,66081.06,51831.07,83269.68,89844.8,191260.15,172526.32,170723.08,149105.68
SEN,FAOSTAT_3,total_fertilizers,11750,16630,17000,24000,25900,16200,21600,22900,25600,37800,38200,29900,35973,32072,37970,30842,6548,6116,8337,24404,31169,22531,34730,39620,37570,52210,68963.83,110642.52,53956,68971.18
SLV,FAOSTAT_3,total_fertilizers,74796,77503,74969,74720,66000,69887,91800,94400,82800,78508,77779,73174,49432,53245,60168,91682,65699,96144,87355,79544,120706,129068,102030.79,102845.16,69003.25,81421.71,67778.39,64277.18,82888.56,42820.73
SRB,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,,,,,374941.31,488996.08,360842.84,443591.01,339392.31,381010.9,530210.74,480456.06,316205.44,278307.9,362877.81,313742.95,188327.36,306674.97
SUR,FAOSTAT_3,total_fertilizers,1000,1000,2900,3300,4300,4300,7300,7100,7594,5300,5800,5600,4148,5998,7475,5212,8983,6874,25787,9181,11656,11965,9826.12,10250.39,12674.49,13412.78,14151.06,15079.72,8195.5,7946.67
SVK,FAOSTAT_3,total_fertilizers,,,,96355,99056,107529,118744,107400,120414,89047,118126,117335,117180,111554,116548,111981,126475,123862,103766,108224,118409,133468,148864,148864,158318,152538,169402,163425.46,174298.5,174262.19
SVN,FAOSTAT_3,total_fertilizers,,,63355,54527,84865,73700,63300,73979,76590,78594,75552,72467,67784,69250,63131,58001,57317,56792,51326,43084,49206,47287,45995,47003,48417,49278,47614,47279.56,47582,46294
SWE,FAOSTAT_3,total_fertilizers,328258,292092,314201,329250,322999,294067,310557,309997,294024,290028,282482,265692,267400,261900,259900,236800,229100,236100,260400,168600,214869,222403,197728,219183,240173,249518,251148.81,268205.29,255893,248143
SYC,FAOSTAT_3,total_fertilizers,,,,,,,,,,23,42,20,,24,11,34,11,30,34,52,29,45,73.5,51.25,50.56,122.54,78.26,96.9,77.35,126.76
SYR,FAOSTAT_3,total_fertilizers,304170,287600,306517,338100,351295,341843,357189,368363,330833,370775,365500,299333,321135,350800,348123,397122,394807,381937,413465,305520,154750,231804,141080.41,63209.35,30251.19,3505.57,19281.35,16285.11,10955.74,33735.83
TGO,FAOSTAT_3,total_fertilizers,11500,11744,12230,9865,11164,16433,17612,16810,17200,16900,19838,19200,13296.9,18310.43,8626.53,683.88,33.17,0,0.54,7126.88,24201.3,25101.44,13310.6,31071.23,4892.44,8817.12,36247.2,15315.38,40695.65,7091.5
THA,FAOSTAT_3,total_fertilizers,1043791,962100,1117800,1455000,1360000,1507000,1519752,1481000,1637000,1763028,1560886,1684072,1778115.2,2255018,2003092.79,1727008.5,1792028.77,2095469.99,1973142.74,1912864.11,2510488.26,2574104.5,2532919.06,2801899.05,2670968.92,2396347.08,2478751.2,2799341.85,2503609.07,2019776.36
TJK,FAOSTAT_3,total_fertilizers,,,128000,76000,70000,70000,62100,51127,36872,10600,8900,12100,32004.78,17726.2,19487.53,12489.29,25937.81,12082.67,8176.11,9112.44,7164.85,4872.21,6765.01,9611.13,16858.77,18223.65,9871.97,14848.92,12354.98,15451.6
TON,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,0,0,0,0,0,0,162.03,187.49,177.9,121.96,147.36,151.63,120.92,165.45,206.75,236.94,167.72,310.61
TTO,FAOSTAT_3,total_fertilizers,7100,8100,9600,5400,5400,7000,10430,10600,6800,6100,9204,1740,4400,4400,6400,6000,5900,5900,5100,5600,5700,5800,6900,7700,9000,8900,9100,8800,8200,8200
TUN,FAOSTAT_3,total_fertilizers,83900,98900,105043,95400,89000,77000,97000,96520,113853,112200,111300,100000,102000,110500,119100,124100,124100,126100,115800,131000,133900,137400,141000,127500,130300,147200,167900,137300,156500,156500
TUR,FAOSTAT_3,total_fertilizers,1887520,1770865,1927552,2207000,1507337,1700388,1799300,1825700,2180700,2193351,2088812,1670636,1746666,1970135,2044015,2067475,2110514,1985593,1551367,2232592,2103665,1847301,2064828,2312134,2180242,2202736,2807280,2644333,2164158,2466416
TZA,FAOSTAT_3,total_fertilizers,46800,49679,47923,36300,35900,27000,31214,39980,30856,20980,22404,7874,31818,38050,50247,55818,52357,50716,52966,86533,101925,105865,104712,151441.21,120202.25,120384.01,170160.68,163616.02,214081.8,213737.19
UGA,FAOSTAT_3,total_fertilizers,192,1200,800,2200,1900,1300,600,600,3535,4479,6639,5800,7463,9331,8758,5756,7652,7497,18976,13746,11606,12068,14663.83,16847.73,12557.97,11022.4,13184.85,14228.42,22740.26,22740.26
UKR,FAOSTAT_3,total_fertilizers,,,2692000,1345000,1134000,890000,525000,562000,513990,417000,440000,474000,519057,512481,533290,557930,699330,896440,1064720,886760,1060640,1263310,1346530,1493710,1471640,1415010,1728850,2028080,2150638,2142470
URY,FAOSTAT_3,total_fertilizers,71884,78823,81200,91000,63000,66000,153500,129200,130000,105487,104122,116166,84278,153222,180554,195654,207581,205919,190660,206167,296378,309495,384803.75,582114.23,449439.73,254905.4,341030.01,343274.07,415659.36,351799.72
USA,FAOSTAT_3,total_fertilizers,18649535.53,18715635.49,18923983.49,19898612.9,19659910.18,19779137.26,20204780.01,20221133.08,19859884.78,19616704.16,19071525.91,19316848.41,19352971.21,21203083.68,20092236.02,19273411.11,20773985.32,19475350.42,16038481.19,18918611.18,19667310.7,20362667.78,20910153.74,21086056.85,19976842.12,20211336,20091404.33,20145604.65,20018597.48,19950557.92
UZB,FAOSTAT_3,total_fertilizers,,,730000,636000,473000,474000,445000,875100,824400,774800,731200,720300,719000,693000,625000,652000,715000,725086,747445,833343,856885,880427,865415,943798,989413,1004965,1023894,1023894,1023894,1023894
VEN,FAOSTAT_3,total_fertilizers,434000,396600,322000,282000,246000,298000,305000,291000,221700,206000,282000,300000,301000,303500,320000,351000,306000,373810,496250,446460,472940,486423.08,513393.66,520076.34,491083.48,495142.52,463100,391300,324600,324600
VNM,FAOSTAT_3,total_fertilizers,560279,781900,766400,754100,1184900,1223700,1484500,1471700,1856900,2057600,2267000,1906500,1950219.05,2191007.4,2379576.52,2159486.55,2177188.77,2546035.72,1906510.32,2795791.54,2351282.43,2277344.51,2375763.23,3107722.15,2799980.72,3027125.59,2972032.69,3200544.85,2902057.41,2736774.37
WORLD,FAOSTAT_3,total_fertilizers,136971688.7,133526592.8,124213146.6,119011611.9,121890671.7,129114054.3,134127399.3,136832796.2,137925311.2,139926275,134764043.9,137108056.5,141735875.9,146957491.2,154842649.5,155198831.6,159254196.6,166441292.5,156181449.9,157614285,173808498.5,180411595.7,179335211.1,183291800.3,187082036.4,185209229.8,186941606.6,192544726,190490073.5,188532115.4
WSM,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,10,24,40,37,24,38,49,35,16,15,3.77,22.57,7.74,11.1,93.8,25.47,64.21,63.63
YEM,FAOSTAT_3,total_fertilizers,22459,19600,14600,11000,11700,13100,8100,19300,17603,15084,15198,16300,11600,5630,18105,4901,11574,29220,18220,14100,25120,14400,19291.18,36482,25877.38,2064.98,20800.94,14807.5,4207.08,12243.44
ZAF,FAOSTAT_3,total_fertilizers,785087,740100,732800,843383,752100,767000,803900,761000,782800,776700,740300,762500,838507,750041,801825,623586,785439,768874,720553,705800,674000,726000,739000,810000,797900,752100,687000,873900,761900,761900
ZMB,FAOSTAT_3,total_fertilizers,59500,62491,84500,85400,59000,55000,51400,56700,36700,34012,31391,36400,67325,75221,85587,76312,77365,95354,117980,91511,99190,166130,142979.17,181196.91,191774.06,212489.15,243145.12,273801.08,199541.55,256787.28
ZWE,FAOSTAT_3,total_fertilizers,167685,164322,113600,159416,170700,145000,168000,175000,175000,185000,165300,152200,130310,146032,86352,85018,132661,108141,93475,117990,136332,111503,73000,102500,103100,78600,130300,146400,132800,132800
AGO,FAOSTAT_3,total_pesticides_use,64,79,23,169,25.5,336,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
ALB,FAOSTAT_3,total_pesticides_use,121,121,121,121,201,251,262.4,273.79,285.19,296.59,307.98,319.38,330.78,342.17,353.57,364.97,376.36,387.76,399.16,410.55,590.5,582.68,361.62,450.6,457.47,538.24,584.49,614.91,442.35,729.67
ARG,FAOSTAT_3,total_pesticides_use,26156,26156,26156,26156,30195,37842,54595,77691,62397,73293.04,84189.08,95085.12,105981.16,116877.2,127773.24,138669.28,149565.32,186790.19,203369.34,140094.8,235739.1,220610.04,216308.7,212007.35,207706,203807,199908,196009,172928,204559
ARM,FAOSTAT_3,total_pesticides_use,,,8,8,23,23.9,32,41.46,50.92,60.38,69.85,79.31,88.77,98.23,204.77,220.51,227.55,241.71,218.2,198.36,278.72,320.67,362.62,404.57,446.52,488.47,530.42,572.37,614.32,527.33
ATG,FAOSTAT_3,total_pesticides_use,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,39.26,31.5,28.3,27.47,26.64,26.86,27.07,27.28,27.49
AUS,FAOSTAT_3,total_pesticides_use,17866.42,17866.42,22234.95,23899.03,21056.8,25598.59,31185.06,34091.5,37215.09,34200,33475.48,32709.51,26650.16,32417.57,36276.68,34310.35,35901.27,32446.24,42935.38,38065.69,42169.39,47632.98,48687.88,45177.19,49857.35,50921.6,63416.48,60201.36,63416.48,63416.48
AUT,FAOSTAT_3,total_pesticides_use,4246,4487,3897,3984,3619,3402,3565,3689.6,3340.3,3418.6,3563.2,3132.2,3079.2,3384.9,3301.7,3404,3415.7,3526.6,4246.7,3531.8,3692.4,3441.5,3563.3,3108.6,3380.7,3787.1,3662,4656,5295,4963
AZE,FAOSTAT_3,total_pesticides_use,,,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,148.68,262.99,316.18,333.85,461.84,516.35,489.8,531.84,529.69,542.82,542.82,542.82,542.82
BDI,FAOSTAT_3,total_pesticides_use,92.08,92.08,92.08,96.99,84.45,144.2,207.1,117.56,107.29,150.24,109.87,72.56,98.1,263.7,508.26,304.83,190.51,412.66,456.44,177.75,264.53,75.64,98.59,956.06,74.49,72.74,50.26,50.26,50.26,50.26
BEL,FAOSTAT_3,total_pesticides_use,,,,,,,,,,,9560.49,8529.07,9204,8822,9186,9776,8244.02,6712.05,6516.47,5496.04,4644.53,5740.44,6139.3,5905.6,6490.46,6866.11,6961,6492,6638,6130
BFA,FAOSTAT_3,total_pesticides_use,29.1,29.1,29.1,17,6,3.04,39.7,76.35,113.01,94.89,76.77,58.66,40.54,22.42,2.08,92.88,109.77,292.45,191.18,132.43,442.89,843,843,843,843,843,843,843,843,843
BGD,FAOSTAT_3,total_pesticides_use,1266,1287,1453,1487,1594.5,1702,1919,2035,2068,2532,3170,3334.84,4206.24,5462.81,6995.51,8090.88,9412.65,10915.12,12403.08,13755.78,13250.83,14798.28,13289.18,15330.16,15857.26,13364.42,14387.63,15144.49,15144.49,15144.49
BGR,FAOSTAT_3,total_pesticides_use,3906,3906,3906,3777.25,3648.5,3519.75,3391,3262.25,3133.5,3004.75,2876,2747.25,2618.5,2489.75,2361,2232.25,2103.5,1974.75,1846,1717.25,1588.5,1459.75,1331,1197,1001,1541.9,3759,3384,5067,6663
BHR,FAOSTAT_3,total_pesticides_use,14.05,14.05,14.05,14.05,30.86,12.46,12.16,9.42,11.15,12.5,8.65,9.2,0.91,6.03,12.24,12.75,12.12,16.25,10.45,12.59,9.84,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14
BHS,FAOSTAT_3,total_pesticides_use,242,257.1,252.46,313.9,375.34,335.15,437.63,536.93,536.29,554.09,461.09,629.38,547.49,498.67,393.78,436.07,375.45,454.09,243.45,97.41,87,144.36,158.5,111.38,118.48,178.05,178.05,178.05,178.05,178.05
BIH,FAOSTAT_3,total_pesticides_use,,,2093.57,2107.26,2112.13,2062.28,2129.15,2147.25,2137.48,2162.67,2151.35,2187.2,2231.65,2222.11,2164.11,2290.71,2268.53,2286.83,2349.67,2325.18,2339.46,2381.92,2424.68,2413.56,2399.35,2354.87,2489.25,2516.96,2544.85,2513.92
BLR,FAOSTAT_3,total_pesticides_use,,,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,4896.89,5682.01,5479.34,4970.93,3563.84,3256.91,3556.55,3785.51,4170.93
BLZ,FAOSTAT_3,total_pesticides_use,771,696,997,1057.83,1118.67,1179.5,1240.33,1301.17,1362,1362,1296,1719,1529.27,1339.54,1149.81,960.08,770.35,674.46,984.03,788.61,700.39,826.58,638.28,1036.68,880.1,1067.18,1258.98,1217.14,1384.31,1062.59
BOL,FAOSTAT_3,total_pesticides_use,2468.03,1690.82,941,1299.88,1652.86,2005.84,2358.82,2711.8,3064.78,3417.76,3770.74,4123.72,4476.7,4829.68,6453.17,7145.93,7771.83,8426.9,8869.82,10280.78,12969.35,13839.18,14403.04,17070.92,16473.2,15962.09,16392.39,21654.91,21749.34,17909.76
BRA,FAOSTAT_3,total_pesticides_use,49695,58349.44,67003.89,75658.33,84312.78,92967.22,101621.67,110276.11,118930.56,127585,140423,151523,145552,182446,214725,232232,238716,304031,312637,335742,342580,345026,346583,367778,352336,395646,377176,377176,377176,377176
BRB,FAOSTAT_3,total_pesticides_use,550,550,550,550,514,664,475,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46,168.46
BRN,FAOSTAT_3,total_pesticides_use,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,9.92,13.65,5.98,27.93,38.49,9.06,1.62,11.97,20.54,20.54,20.54,20.54,20.54,20.54
BTN,FAOSTAT_3,total_pesticides_use,4.03,4.55,4.54,3.4,24.51,29.24,32.37,2.01,2.35,2.44,3.22,2.55,1.88,5.16,6.64,2.09,5.93,7.05,5.82,5.68,6.56,9.07,7.44,5.4,3.38,10.81,25.62,27.64,37.58,34.53
BWA,FAOSTAT_3,total_pesticides_use,17,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
CAF,FAOSTAT_3,total_pesticides_use,0.04,0.04,0.04,0.25,2.16,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87,22.87
CAN,FAOSTAT_3,total_pesticides_use,29568,29477.5,29387,29296.5,29206,32234.97,35263.94,38292.91,41321.89,44350.86,39718.43,38501,34264.57,35628.14,36163.71,36382.29,36585.61,45146.45,53707.3,54529.4,61050,62107.2,73508.9,81659.8,76314,75318.3,90926,98304,87632,78893
CHE,FAOSTAT_3,total_pesticides_use,2282,2055.9,2018.7,1934.5,1922.5,1826.3,1746.3,1644.3,1563.6,1526.6,1576.9,1561.9,1526.6,1476.7,1390.7,1388.3,1359.04,2099.3,2237.36,2224.02,2148.48,2284.09,2231.91,2290.07,2245.45,2220.55,2158.17,2027.76,2051.98,1952.01
CHL,FAOSTAT_3,total_pesticides_use,15373,15373,15373,15373,15373,15373,15373,15373,15373,15373,14264.54,13156.09,12047.63,10939.18,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72,9830.72
CHN,FAOSTAT_3,total_pesticides_use,144459.52,144459.52,150858.55,159466.09,184722.44,205184.24,215339.63,225664.91,232498.09,249467.79,241520.91,240633.73,247523.54,250147.33,261624.06,275573.56,290145.99,306322.89,315666.6,322594.17,331881.25,337317.6,340922.95,341224.97,340394.42,336562.55,328540.17,312419.9,283822.46,262700
CIV,FAOSTAT_3,total_pesticides_use,16,16,16,16,143,134,93,93.02,93.05,93.07,93.09,93.11,93.14,93.16,93.18,93.2,93.23,93.25,93.27,93.29,93.32,93.34,93.36,93.39,93.41,93.43,93.45,22.1,29.33,92.26
CMR,FAOSTAT_3,total_pesticides_use,2227.46,1503.69,1843.81,1245.32,646.84,48.35,180.08,630.12,258.02,653,545,687,2196.54,2249.74,2530.46,2259.41,2758.28,2824.64,2599.43,2323.15,3474.69,3968.89,4010.74,4536.15,5479.55,5838.14,4831.12,7068.63,7321.6,7321.6
COG,FAOSTAT_3,total_pesticides_use,27,30,35.5,41,11.2,12.2,14.2,13.24,12.27,11.31,10.34,9.38,8.41,7.45,6.48,5.52,4.55,3.59,2.62,1.66,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
COK,FAOSTAT_3,total_pesticides_use,1,1,1,1,0.86,0.71,0.9,1.63,1.58,1.5,1.5,1.9,2.29,2.69,2.79,3.04,3.21,3.23,3.6,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33
COL,FAOSTAT_3,total_pesticides_use,18058.29,16817,15305.94,14961.81,17051.34,20156.23,18131,16005,60687,66088,75843,85515.3,84023.26,88772.15,105514.19,117881.45,98328.63,82439.06,48538.97,51435.13,48618.46,53797,48727.73,54563.38,73744.34,33689.3,32392,37699,37773,69862
COM,FAOSTAT_3,total_pesticides_use,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.67,0.64,0.61,0.58,0.55,0.52,0.49,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
CPV,FAOSTAT_3,total_pesticides_use,1,1,1,1,2,0.68,0.5,1.74,7.03,11,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
CRI,FAOSTAT_3,total_pesticides_use,1447.15,1447.15,1447.15,1447.15,1475.13,1503.12,2747.79,4104.66,7898,17029,14283,10704,11982.37,11334.74,11524.1,11309.47,11198.84,12746.56,13317,12306.67,14241.84,12811.25,12575.54,12339.82,12104.11,11868.4,11632.69,11396.97,10284.52,11866.02
CYP,FAOSTAT_3,total_pesticides_use,2184.51,1970.71,1695.53,2044.07,2518.2,2030.77,2417.19,2224.09,1731.13,1238.18,745.22,864.51,1060.57,796.43,717.3,678.16,861.02,534.89,477.75,728.61,632.48,1324.62,1266.21,1243.1,1203.71,1056.74,1142.13,1163.2,1246.07,1270.82
