Short Names ,Indicator name,Definition (if any),Category,Sub_Category,Unit,,
emission_intensity_cereals,Agriculture emissions intensity,,Agriculture emissions intensity,Cereals excluding rice,kg CO2eq/kg product,,
emission_intensity_rice,Agriculture emissions intensity,,Agriculture emissions intensity,Rice paddy,kg CO2eq/kg product,,
emission_intensity_meat_cattle,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - cattle,kg CO2eq/kg product,,
emission_intensity_meat_goat,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - goat,kg CO2eq/kg product,,
emission_intensity_meat_chicken,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - chicken,kg CO2eq/kg product,,
emission_intensity_meat_pig,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - pig,kg CO2eq/kg product,,
emission_intensity_meat_buffalo,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - buffalo,kg CO2eq/kg product,,
emission_intensity_meat_sheep,Agriculture emissions intensity,,Agriculture emissions intensity,Meat - Sheep,kg CO2eq/kg product,,
emission_intensity_milk_cow,Agriculture emissions intensity,,Agriculture emissions intensity,Milk - cow,kg CO2eq/kg product,,
emission_intensity_milk_goat,Agriculture emissions intensity,,Agriculture emissions intensity,Milk - goat,kg CO2eq/kg product,,
emission_intensity_milk_buffalo,Agriculture emissions intensity,,Agriculture emissions intensity,Milk - buffalo,kg CO2eq/kg product,,
emission_intensity_milk_sheep,Agriculture emissions intensity,,Agriculture emissions intensity,Milk - Sheep,kg CO2eq/kg product,,
emission_intensity_milk_camel,Agriculture emissions intensity,,Agriculture emissions intensity,Milk - camel,kg CO2eq/kg product,,
emission_intensity_eggs,Agriculture emissions intensity,,Agriculture emissions intensity,Eggs,kg CO2eq/kg product,,
