area,short names,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,2018
GMB,water_withdrawal,,,,91.0,61.05,51.05,46.04,41.29,38.58,38.58,38.58,38.58
GNB,water_withdrawal,,,,,,69.59,82.29,79.56,75.79,75.79,75.79,75.79
GNQ,water_withdrawal,,,,,6.0,5.87,5.78,5.45,5.05,5.05,5.05,5.05
GRC,water_withdrawal,,67.69,83.63,83.66,86.27,98.28,87.41,90.94,87.83,83.37,80.0,80.09
GRD,water_withdrawal,,,,,,,,,19.62,16.01,14.89,14.89
GTM,water_withdrawal,,,,,,,,59.65,56.74,56.74,56.74,56.74
GUY,water_withdrawal,,,,,,98.49,97.89,96.48,94.61,94.34,94.34,94.34
HND,water_withdrawal,,,,,,,,,73.3,73.3,73.3,73.3
HRV,water_withdrawal,,,,,,,,1.03,0.49,5.11,10.58,10.58
HTI,water_withdrawal,,,,,,93.34,89.79,86.96,84.36,83.38,83.38,83.38
HUN,water_withdrawal,,22.38,22.45,28.8,28.96,13.3,7.31,11.88,5.52,6.37,11.52,11.51
IDN,water_withdrawal,,,,,,90.03,84.35,79.22,78.66,83.04,85.21,85.21
IND,water_withdrawal,,,93.4,94.22,93.57,91.88,91.62,91.23,90.68,90.41,90.41,90.41
IRL,water_withdrawal,,,,12.63,13.76,14.82,15.07,14.76,16.06,9.49,5.43,4.56
IRN,water_withdrawal,,,,,,,92.49,92.96,92.18,92.18,92.18,92.18
IRQ,water_withdrawal,,,97.47,97.5,95.26,88.33,81.66,79.95,83.58,88.76,87.81,91.48
ISL,water_withdrawal,,,,3.65,3.57,41.92,42.55,42.42,16.32,0.1,0.11,0.11
ISR,water_withdrawal,,78.32,74.69,72.65,71.39,67.41,63.98,55.76,56.35,55.33,54.14,51.65
ITA,water_withdrawal,,59.2,53.85,51.46,52.93,51.83,47.04,42.83,38.36,47.81,49.73,49.73
JAM,water_withdrawal,,,,,,,69.37,61.85,44.31,24.08,8.42,8.42
JOR,water_withdrawal,,,67.4,72.21,74.7,74.9,69.86,64.38,63.2,54.42,53.13,53.13
JPN,water_withdrawal,,,,65.49,64.82,64.11,65.15,66.21,65.68,67.11,67.72,67.72
KAZ,water_withdrawal,,,,,,,77.07,68.13,63.4,58.38,61.84,63.16
KEN,water_withdrawal,,,,,,74.56,68.95,72.74,64.94,59.26,80.21,80.21
KGZ,water_withdrawal,,,,,,,93.95,93.54,92.94,92.69,92.69,92.69
KHM,water_withdrawal,,,,,,,,,94.0,94.0,94.0,94.0
KNA,water_withdrawal,,,,,,,,,,1.28,1.28,1.28
KOR,water_withdrawal,,,,,,65.85,60.1,55.21,58.21,57.77,58.93,58.93
KWT,water_withdrawal,,,,,,,55.18,53.87,54.6,57.67,62.27,62.27
LAO,water_withdrawal,,,,,,,,,93.18,95.5,95.9,95.9
LBN,water_withdrawal,,,82.04,76.29,72.05,68.78,65.85,62.44,53.95,43.07,38.04,38.04
LBR,water_withdrawal,,,,,60.0,40.47,21.02,8.99,8.43,8.43,8.43,8.43
LBY,water_withdrawal,,,,,76.62,88.46,84.96,82.85,82.96,83.19,83.19,83.19
LCA,water_withdrawal,,,,,,,,,70.86,70.86,70.86,70.86
LKA,water_withdrawal,,,,,,95.06,93.15,90.29,87.36,87.36,87.36,87.36
LSO,water_withdrawal,,,,,56.0,38.25,17.93,8.68,8.68,8.68,8.68,8.68
LTU,water_withdrawal,,,,,,,0.34,2.64,3.61,9.11,22.74,22.46
LUX,water_withdrawal,,,,,,,0.34,0.31,0.26,0.45,0.88,0.96
LVA,water_withdrawal,,,,,,,11.02,20.76,23.19,15.68,31.16,30.55
MAR,water_withdrawal,,,,,,92.17,88.65,74.58,81.71,87.78,87.78,87.78
MCO,water_withdrawal,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,water_withdrawal,,,,,,39.48,21.59,13.93,3.56,4.4,5.0,5.14
MDG,water_withdrawal,,,,,98.72,98.21,97.62,96.98,95.89,95.89,95.89,95.89
MDV,water_withdrawal,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,water_withdrawal,,,,,,,91.32,77.27,76.72,76.57,76.05,75.72
MKD,water_withdrawal,,,,,,,66.85,44.44,22.77,79.3,39.54,38.26
MLI,water_withdrawal,,,,,96.99,97.81,98.08,98.11,97.86,97.86,97.86,97.86
MLT,water_withdrawal,,,,,,,20.16,35.04,43.2,60.4,42.42,39.06
MMR,water_withdrawal,,,,,98.6,94.53,90.95,88.82,88.56,88.56,88.56,88.56
MNE,water_withdrawal,,,,,,,,,3.9,1.06,1.06,1.06
MNG,water_withdrawal,,,,,,,48.89,44.49,42.31,51.67,54.26,54.26
MOZ,water_withdrawal,,,,,,86.2,80.35,75.53,73.32,73.13,73.05,73.05
MRT,water_withdrawal,,,,88.85,92.34,92.85,93.37,92.42,90.58,90.58,90.58,90.58
MUS,water_withdrawal,,,76.89,76.89,76.89,76.01,74.8,69.82,67.14,62.71,55.84,51.01
MWI,water_withdrawal,,,,,,,86.81,87.14,85.94,85.94,85.94,85.94
MYS,water_withdrawal,,,,,,73.61,45.65,45.65,45.65,45.65,45.65,45.65
NAM,water_withdrawal,,,,,75.61,68.77,70.96,69.79,69.79,69.79,69.79,69.79
NER,water_withdrawal,,,,,,75.17,69.67,67.06,75.93,93.97,87.73,87.73
NGA,water_withdrawal,,,,,70.13,61.21,55.8,50.96,46.17,44.17,44.17,44.17
NIC,water_withdrawal,,,,,,,,81.02,77.21,76.72,76.72,76.72
NLD,water_withdrawal,,,,,,2.64,2.78,0.55,0.66,0.56,1.51,3.73
NOR,water_withdrawal,,,,,,,31.01,31.63,27.92,30.93,31.39,31.39
NPL,water_withdrawal,,,,,,,,97.73,98.14,98.14,98.14,98.14
NZL,water_withdrawal,,,,,44.0,44.0,44.0,61.65,58.55,63.13,66.65,65.19
OMN,water_withdrawal,,,,,,93.45,91.5,89.11,87.17,86.03,82.64,82.59
PAK,water_withdrawal,,,97.85,97.46,97.09,96.48,95.06,94.3,94.09,93.98,93.98,93.98
PAN,water_withdrawal,,,,,,,,,,40.15,36.83,36.83
PER,water_withdrawal,,,,,,,,,,84.73,87.12,91.8
PHL,water_withdrawal,,,,,,,,,82.45,80.61,72.82,72.32
PNG,water_withdrawal,,,,,,,,0.31,0.26,0.26,0.26,0.26
POL,water_withdrawal,,14.58,10.77,9.18,10.56,10.23,8.46,9.45,9.33,9.6,10.1,13.85
PRK,water_withdrawal,,,,,,,,76.89,76.35,76.35,76.35,76.35
PRT,water_withdrawal,,,,,,66.85,78.39,74.9,68.12,64.53,55.48,56.99
PRY,water_withdrawal,,,,,78.0,75.27,72.8,73.77,75.5,78.62,78.62,78.62
PSE,water_withdrawal,,,,,,,,51.4,45.22,45.22,43.18,45.06
QAT,water_withdrawal,,,,,,,72.67,65.21,49.32,38.64,26.96,26.11
ROU,water_withdrawal,,37.69,38.16,38.35,42.68,44.78,23.92,12.93,15.96,16.86,22.01,22.24
RUS,water_withdrawal,,,,,,,19.96,19.94,19.94,19.94,28.97,28.76
RWA,water_withdrawal,,,,,,,,62.36,55.46,55.46,55.46,55.46
SAU,water_withdrawal,,,,,,89.95,88.46,88.01,87.38,83.86,82.23,79.17
SDN,water_withdrawal,,,,,,,,,,96.19,96.19,96.19
SEN,water_withdrawal,,,,,91.99,91.12,90.36,92.98,92.98,92.98,92.98,92.98
SGP,water_withdrawal,,,2.62,1.64,1.32,1.16,1.07,0.99,1.15,2.17,4.0,4.0
SLE,water_withdrawal,,,,,88.92,36.27,27.64,23.06,21.54,21.54,21.54,21.54
SLV,water_withdrawal,,,,,,46.09,53.03,61.48,67.56,67.56,67.56,67.56
SOM,water_withdrawal,,,,,97.04,98.94,99.51,99.56,99.48,99.48,99.48,99.48
SRB,water_withdrawal,,,,,,,,,3.24,16.14,12.29,12.82
SSD,water_withdrawal,,,,,,,,,,36.47,36.47,36.47
STP,water_withdrawal,,,,,,,,,,,62.59,62.59
SUR,water_withdrawal,,,,,89.13,90.75,91.96,85.44,70.0,70.0,70.0,70.0
SVK,water_withdrawal,,,,,,,5.11,5.12,3.27,4.61,5.68,13.25
SVN,water_withdrawal,,,,,,,,0.73,0.49,0.25,0.42,0.31
SWE,water_withdrawal,,3.27,3.35,3.41,4.38,5.85,5.53,5.04,4.07,3.46,3.16,3.16
SWZ,water_withdrawal,,,,95.99,96.19,96.35,96.48,95.59,94.19,94.19,94.19,94.19
SYC,water_withdrawal,,,,,,7.51,7.13,7.33,6.57,6.57,6.57,6.57
SYR,water_withdrawal,,,,,,,89.0,88.09,87.53,87.53,87.53,87.53
TCD,water_withdrawal,,,,,81.77,78.5,77.58,78.04,76.42,76.42,76.42,76.42
TGO,water_withdrawal,,,,,25.27,37.05,44.12,44.97,34.08,34.08,34.08,34.08
THA,water_withdrawal,,,,,,,,,90.37,90.37,90.37,90.37
TJK,water_withdrawal,,,,,,,92.63,92.19,90.86,91.09,64.92,75.49
TKM,water_withdrawal,,,,,,,97.22,96.52,94.3,94.3,94.3,94.3
TLS,water_withdrawal,,,,,,,,,91.38,91.38,91.38,91.38
TTO,water_withdrawal,,,,,,,5.25,4.96,4.35,4.36,4.36,4.36
TUN,water_withdrawal,,,,,,87.53,84.24,81.78,80.73,79.8,74.42,76.28
TUR,water_withdrawal,,,,,,72.47,80.85,78.73,84.35,86.68,84.33,87.12
TZA,water_withdrawal,,,,,,,83.1,89.35,89.35,89.35,89.35,89.35
UGA,water_withdrawal,,57.52,52.12,47.65,43.89,40.67,37.9,33.19,39.9,40.66,40.66,40.66
UKR,water_withdrawal,,,,,,30.25,30.12,30.0,30.0,31.89,41.56,41.56
URY,water_withdrawal,89.88,88.43,87.73,87.31,87.03,86.83,86.68,86.61,86.61,86.61,86.61,86.61
USA,water_withdrawal,,,,26.29,31.74,34.88,35.04,34.73,34.83,37.42,39.66,39.66
UZB,water_withdrawal,,,,,,,92.24,90.33,90.32,91.19,92.29,92.29
VCT,water_withdrawal,,,,,,,71.45,51.29,29.27,5.11,0.0,0.0
VEN,water_withdrawal,,45.7,45.11,44.69,44.36,44.11,43.9,58.39,73.85,73.85,73.85,73.85
VNM,water_withdrawal,,,,91.33,90.41,91.94,93.34,94.33,94.78,94.78,94.78,94.78
YEM,water_withdrawal,,,,,,91.62,90.56,90.31,90.74,90.74,90.74,90.74
ZAF,water_withdrawal,,,,,,70.22,65.01,61.48,61.99,62.44,58.77,57.91
ZMB,water_withdrawal,,,,,,76.65,75.66,73.28,73.28,73.28,73.28,73.28
ZWE,water_withdrawal,,,,,79.02,78.95,78.92,78.91,82.07,80.2,82.96,80.64
