area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BRN,employment_agri_female,1.64,1.54,1.45,1.37,1.29,1.22,1.16,1.1,1.05,1.0,0.94,0.88,0.83,0.79,0.75,0.7,0.66,0.63,0.59,0.56,0.53,0.5,0.47,0.45,0.46,0.45,0.44,0.54,0.72,,
BTN,employment_agri_female,78.45,78.29,78.15,77.97,77.83,77.44,77.11,76.79,76.42,75.8,75.24,74.66,74.05,73.3,72.55,72.03,70.77,69.31,67.59,65.86,68.24,66.93,66.21,66.78,66.3,65.84,65.05,64.38,64.01,,
BWA,employment_agri_female,10.74,10.56,10.52,10.57,10.27,10.36,11.78,13.0,15.12,17.26,15.6,14.0,12.5,13.78,15.1,16.32,17.5,18.74,20.09,19.62,19.15,18.72,18.32,17.82,17.29,16.78,16.28,15.78,15.28,,
CAF,employment_agri_female,80.86,80.93,80.92,80.85,80.6,80.51,80.27,80.01,80.0,79.93,79.51,79.15,78.98,78.59,78.36,77.93,77.47,77.06,76.42,75.89,75.25,74.65,76.03,75.9,75.26,74.55,73.94,73.29,72.61,,
CAN,employment_agri_female,2.39,2.29,2.37,2.3,2.12,2.09,2.04,2.06,1.94,1.65,1.34,1.36,1.32,1.29,1.35,1.39,1.31,1.21,1.19,1.11,1.1,1.11,1.08,1.06,1.02,0.99,0.96,0.94,1.0,,
CHE,employment_agri_female,3.96,4.01,4.2,4.09,3.75,3.34,3.71,3.78,3.66,4.01,3.39,3.35,3.26,2.89,2.84,2.71,2.79,2.67,2.44,2.68,2.86,2.95,2.77,2.71,2.87,2.86,2.59,2.56,1.98,,
CHL,employment_agri_female,6.13,6.06,6.08,5.51,5.42,5.35,4.54,4.59,4.68,4.67,4.7,4.79,4.95,5.51,5.86,5.86,5.68,5.51,5.33,5.14,5.1,4.98,4.7,4.52,4.53,4.92,5.35,5.19,4.74,,
CHN,employment_agri_female,54.88,53.85,51.78,49.46,47.14,45.33,44.94,45.03,45.68,46.0,46.27,46.58,45.86,43.21,41.2,39.06,37.28,36.09,34.69,33.37,31.42,30.22,27.88,25.9,25.03,24.2,23.61,22.78,22.01,,
CIV,employment_agri_female,52.89,52.7,52.5,52.29,51.96,51.58,51.09,50.68,50.22,49.68,49.21,48.6,47.97,47.31,46.64,45.96,45.18,44.42,43.54,42.74,41.99,40.94,39.98,38.19,36.38,34.59,32.69,31.95,31.04,,
CMR,employment_agri_female,72.36,72.28,72.21,72.03,71.86,71.62,71.33,70.94,70.51,69.97,69.03,68.95,68.64,68.14,67.54,66.82,66.03,64.49,62.79,61.12,59.28,57.34,55.34,53.3,51.87,50.7,49.6,48.62,47.7,,
COD,employment_agri_female,79.72,79.76,79.94,79.94,79.91,80.6,80.26,80.26,80.13,81.25,81.03,81.06,80.67,80.27,79.91,79.45,78.87,78.28,77.81,77.37,76.77,76.11,75.38,74.57,73.83,73.32,72.79,72.18,71.51,,
COG,employment_agri_female,46.17,46.08,45.95,45.83,45.59,45.4,45.25,44.81,44.61,44.27,43.61,42.94,42.34,41.84,41.24,40.61,40.09,39.46,38.54,37.98,37.28,36.61,35.86,35.01,34.17,33.61,33.09,32.54,32.04,,
COL,employment_agri_female,7.03,7.02,7.06,6.95,7.01,6.93,6.82,6.7,6.65,6.62,6.49,6.51,6.54,6.46,6.43,6.31,6.17,6.17,6.21,7.0,7.06,7.58,7.04,6.97,7.22,7.25,7.74,7.81,6.6,,
COM,employment_agri_female,68.71,68.55,68.44,68.48,68.25,68.16,67.89,67.64,67.3,66.1,65.47,64.74,63.97,63.13,60.64,58.11,56.16,53.47,50.58,47.72,44.84,42.08,39.13,36.4,35.44,34.4,33.21,32.38,31.57,,
CPV,employment_agri_female,19.49,19.27,19.01,18.74,18.43,18.08,17.7,17.24,16.7,16.13,15.55,14.93,14.35,13.75,13.16,12.55,11.93,11.38,10.93,10.46,10.04,9.66,9.31,8.96,8.62,8.26,7.93,6.52,5.47,,
CRI,employment_agri_female,3.85,3.91,4.02,3.99,4.05,4.04,4.15,4.11,4.02,3.87,3.72,4.09,4.06,3.99,4.76,4.34,5.03,4.13,3.4,3.37,3.36,2.96,2.92,3.92,4.2,4.2,4.53,4.37,4.05,,
CUB,employment_agri_female,13.43,13.51,13.67,13.17,12.94,12.95,12.97,13.56,13.97,13.99,13.05,12.08,11.25,10.46,9.83,9.23,8.6,8.58,8.35,8.51,8.9,8.24,7.87,8.17,8.09,7.85,7.65,7.47,7.27,,
