area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LTU,employment_agri_female,19.66,19.7,19.73,19.56,19.12,18.59,17.89,16.5,15.91,15.21,13.03,14.88,15.55,13.51,11.51,11.46,8.6,5.9,6.66,6.49,6.46,6.35,6.1,6.75,6.63,5.54,5.4,4.7,4.15,,
LUX,employment_agri_female,3.0,2.85,2.67,2.78,3.46,1.61,1.23,1.68,1.46,1.49,1.04,1.01,1.84,1.48,1.09,1.2,1.15,1.17,0.86,0.74,0.82,0.89,0.92,0.84,0.75,0.61,0.7,0.47,0.43,,
LVA,employment_agri_female,14.88,15.01,15.15,14.66,14.12,13.74,19.18,16.67,15.17,13.08,12.37,12.11,10.1,9.88,8.0,8.44,7.78,5.76,6.18,5.73,5.34,4.85,4.9,4.47,5.04,5.06,4.2,4.01,4.35,,
MAR,employment_agri_female,59.47,59.28,59.09,59.18,58.75,58.92,58.54,58.48,58.06,57.87,57.92,57.17,56.91,60.45,61.49,61.42,61.53,61.62,61.46,61.33,61.21,60.07,58.91,57.84,56.88,55.81,54.72,53.43,52.12,,
MCO,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,employment_agri_female,42.68,40.35,42.98,44.9,43.9,41.68,40.16,44.5,47.61,49.9,50.41,48.69,41.77,40.07,40.18,32.01,30.07,28.34,24.82,24.44,24.11,23.21,25.38,26.6,29.73,30.31,27.95,20.55,16.93,,
MDG,employment_agri_female,78.19,78.17,78.14,78.03,78.22,78.31,78.34,78.41,78.42,78.7,79.26,79.57,79.35,81.48,82.49,80.67,78.66,76.38,74.08,71.64,68.94,66.02,64.96,63.94,62.95,62.06,61.4,60.65,59.94,,
MDV,employment_agri_female,7.72,7.93,8.14,8.34,8.49,8.63,8.75,8.83,8.91,9.0,8.89,8.79,8.85,7.98,7.04,6.27,5.52,4.72,4.04,3.72,3.45,3.19,2.91,2.67,2.4,2.18,2.09,1.96,1.85,,
MEX,employment_agri_female,8.3,8.28,8.26,8.24,8.1,7.97,7.96,7.85,7.18,6.63,5.87,5.57,5.29,5.07,4.85,4.62,4.57,4.39,3.9,3.93,3.97,4.18,3.94,3.77,3.73,3.65,3.81,3.59,3.61,,
MHL,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,employment_agri_female,28.45,27.93,28.78,28.69,28.08,27.79,27.46,26.98,26.39,25.89,25.54,24.69,22.2,21.42,20.96,20.33,17.28,17.13,17.88,18.35,18.78,17.58,20.28,18.49,17.5,15.76,15.87,14.78,13.01,,
MLI,employment_agri_female,75.98,76.08,75.9,75.88,75.79,75.48,75.2,74.8,74.36,74.3,73.35,72.95,72.47,72.14,71.46,71.09,70.64,70.04,69.51,68.89,68.1,67.59,67.39,66.15,61.94,63.25,62.12,63.48,62.58,,
MLT,employment_agri_female,0.96,0.95,0.93,0.91,0.88,0.86,0.83,0.81,0.8,0.8,0.76,0.66,0.59,0.56,0.55,0.55,0.52,0.54,0.46,0.44,0.4,0.38,0.48,0.52,0.6,0.49,0.43,0.44,0.45,,
MMR,employment_agri_female,63.29,62.27,62.43,62.29,60.02,58.33,56.3,55.7,55.6,54.68,54.49,53.77,52.64,52.03,51.67,51.07,51.02,50.5,50.23,50.4,50.15,50.13,50.16,50.27,50.12,47.89,45.52,42.58,42.44,,
MNE,employment_agri_female,10.21,10.24,10.4,10.27,10.0,9.65,9.36,9.07,8.97,8.56,8.26,7.83,7.17,8.09,8.82,8.58,8.15,6.9,5.94,5.07,4.28,4.71,2.57,4.57,8.17,7.4,6.93,7.25,6.61,,
MNG,employment_agri_female,43.76,43.59,43.4,43.42,44.99,44.95,47.5,48.63,48.23,46.39,46.33,42.18,44.92,37.24,36.49,35.24,40.14,39.1,38.65,32.15,32.48,34.1,28.31,26.2,26.95,27.94,26.1,24.55,23.35,,
MOZ,employment_agri_female,92.66,92.78,92.56,92.5,92.41,92.13,91.84,91.63,91.3,91.3,90.83,90.07,89.8,89.45,89.1,88.54,88.09,87.49,86.92,86.36,85.7,84.96,84.17,83.19,82.1,81.45,80.74,80.2,79.78,,
MRT,employment_agri_female,38.32,38.1,37.86,37.64,37.36,37.02,36.67,36.3,35.72,35.23,34.57,33.86,33.17,32.44,31.78,31.15,30.43,29.75,28.96,28.35,27.62,26.85,26.17,25.4,24.65,24.01,23.28,22.63,21.94,,
MUS,employment_agri_female,12.98,12.7,12.3,11.88,12.64,11.18,10.3,9.7,8.7,8.77,10.96,8.95,12.61,8.22,8.96,8.09,7.88,7.69,8.15,7.57,6.34,6.4,5.99,5.57,5.19,4.77,4.42,4.09,3.93,,
MWI,employment_agri_female,88.07,88.16,87.87,88.36,88.04,87.77,87.71,87.47,87.28,87.1,87.21,87.08,86.88,86.65,86.52,86.33,86.06,85.64,85.22,84.89,84.53,84.26,83.9,83.5,83.26,83.01,82.63,82.34,82.0,,
MYS,employment_agri_female,20.58,20.14,19.11,18.01,16.97,17.11,14.32,15.14,13.6,14.11,12.04,11.61,10.96,10.46,10.13,9.98,9.88,9.16,8.69,8.43,7.12,8.49,8.09,8.04,7.9,6.82,6.67,6.06,5.89,,
NAM,employment_agri_female,52.13,50.74,48.62,45.77,43.7,41.56,39.38,36.06,32.69,29.22,28.59,27.41,26.34,25.34,25.27,25.56,25.99,26.39,26.45,26.44,26.54,26.6,30.84,30.3,23.78,17.93,19.46,21.07,20.1,,
NER,employment_agri_female,75.94,75.92,75.93,76.01,75.98,75.96,76.0,75.53,75.54,75.72,75.27,75.05,74.96,75.1,74.71,74.43,74.39,73.89,73.97,73.43,73.35,72.79,72.5,71.97,71.67,71.04,70.63,69.94,69.47,,
NGA,employment_agri_female,45.88,45.7,45.45,45.15,44.91,44.58,44.19,43.8,43.38,42.91,42.13,41.19,40.47,39.93,38.78,37.65,36.5,35.36,34.21,33.17,32.11,30.17,28.2,27.25,26.47,25.61,24.84,24.24,23.57,,
NIC,employment_agri_female,11.76,11.56,11.33,11.08,10.92,10.81,10.61,10.45,10.18,10.12,9.83,9.65,9.69,10.18,8.11,8.37,8.53,6.25,6.45,7.04,7.73,8.23,8.78,9.31,9.0,8.7,8.5,8.35,8.23,,
NLD,employment_agri_female,2.77,2.72,2.67,2.53,2.26,2.28,2.39,2.42,2.27,2.38,2.44,2.03,2.01,2.14,2.36,2.26,1.95,1.9,1.92,1.84,1.63,1.61,1.24,1.4,1.51,1.38,1.46,1.29,1.38,,
NOR,employment_agri_female,3.55,3.35,3.33,3.16,3.31,3.11,2.75,2.57,2.46,2.31,2.16,1.97,2.12,1.74,1.59,1.5,1.32,1.25,1.2,1.03,0.89,0.84,0.93,1.02,0.92,0.98,0.94,1.09,1.04,,
NPL,employment_agri_female,90.39,90.12,89.8,89.25,88.72,88.02,87.2,86.38,85.38,84.63,84.1,83.65,83.19,82.73,82.35,82.03,81.68,81.15,80.54,79.83,79.12,78.44,77.76,76.95,76.29,75.89,75.22,74.62,74.08,,
NRU,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,employment_agri_female,7.75,7.58,7.44,7.3,6.69,6.13,5.59,5.7,6.7,5.84,6.04,5.69,5.23,5.08,4.87,5.05,4.8,4.66,4.29,4.32,4.6,4.42,4.27,3.98,4.0,4.42,4.33,3.83,3.72,,
OMN,employment_agri_female,5.72,5.45,5.04,5.07,5.07,5.06,5.18,5.29,5.38,5.41,4.67,4.04,3.49,3.01,2.6,2.25,1.95,1.71,0.91,0.47,0.49,0.48,0.44,0.41,0.38,0.36,0.34,0.32,0.3,,
PAK,employment_agri_female,68.15,68.01,67.74,67.49,67.51,67.1,66.63,66.23,65.84,65.5,65.2,64.8,64.41,65.86,67.25,69.12,72.76,75.35,72.89,74.09,74.47,74.83,75.17,73.2,72.08,73.24,69.99,66.43,65.18,,
PAN,employment_agri_female,3.6,3.1,3.09,2.53,3.47,2.71,2.33,1.91,1.95,1.78,3.15,3.09,3.81,3.03,4.34,4.51,3.34,7.23,7.89,7.55,6.77,8.28,8.98,8.16,7.85,8.86,8.65,7.98,8.25,,
PER,employment_agri_female,33.72,33.7,33.39,32.81,32.57,32.33,32.09,31.88,31.89,31.47,31.49,31.13,32.91,31.99,32.62,30.83,27.24,26.65,26.81,26.61,26.66,26.15,26.36,26.85,27.07,27.38,26.07,26.14,26.34,,
PHL,employment_agri_female,32.03,32.25,32.67,32.01,30.12,30.67,27.44,25.57,26.51,23.79,24.17,24.63,24.13,23.74,23.34,22.96,22.59,22.37,22.2,21.65,21.35,20.94,20.12,20.2,18.96,17.24,15.33,14.36,13.61,,
PLW,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,employment_agri_female,78.77,78.7,78.58,78.36,78.17,77.75,77.42,77.02,77.1,77.47,76.72,76.33,75.85,75.08,74.51,73.74,72.67,72.03,70.89,69.71,68.54,67.22,66.15,65.61,64.27,63.34,62.4,61.31,60.14,,
POL,employment_agri_female,26.36,25.88,25.04,24.09,23.1,22.09,21.04,20.12,19.22,18.38,19.44,19.0,16.97,16.58,16.64,15.02,14.17,13.83,13.16,12.69,12.25,11.72,10.94,10.26,10.35,9.39,8.86,8.41,8.08,,
PRK,employment_agri_female,53.93,54.46,54.9,55.11,55.64,55.91,56.54,56.52,55.65,55.52,54.85,54.51,54.3,53.84,53.27,53.23,53.2,52.47,52.22,51.86,51.17,50.58,50.12,49.62,49.28,48.48,48.21,48.02,47.15,,
PRT,employment_agri_female,13.25,13.02,12.98,13.01,12.63,13.49,15.22,15.55,14.43,14.32,14.69,13.92,14.02,12.92,13.09,12.53,12.37,12.05,11.68,10.92,8.8,8.91,7.9,6.3,5.39,4.79,4.18,3.93,3.62,,
PRY,employment_agri_female,21.08,21.1,20.9,20.76,20.42,20.3,20.25,20.21,20.19,20.29,20.1,19.5,19.54,24.08,22.26,20.7,22.54,17.84,20.62,18.09,19.47,22.27,15.97,16.11,13.95,14.66,14.95,14.57,12.81,,
PSE,employment_agri_female,36.79,36.94,36.82,36.79,36.53,36.03,35.51,35.44,35.3,34.66,26.64,30.46,34.21,34.05,32.89,35.08,36.71,26.83,24.01,21.33,22.61,23.74,20.96,20.97,13.07,8.97,7.65,6.81,6.68,,
QAT,employment_agri_female,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.07,0.1,0.07,0.04,0.02,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
ROU,employment_agri_female,33.71,37.74,40.43,44.04,46.19,42.41,45.04,45.8,47.59,47.96,47.45,40.07,39.6,33.0,33.05,31.43,31.01,30.39,30.71,32.36,31.09,31.01,30.35,29.3,25.59,22.62,22.28,22.21,21.01,,
RUS,employment_agri_female,10.51,11.8,11.68,12.11,11.53,10.88,7.91,7.47,12.35,11.72,9.32,8.94,8.16,8.05,7.91,7.65,6.94,6.6,6.26,5.56,5.68,5.41,5.4,5.15,5.11,5.02,4.04,3.99,4.01,,
RWA,employment_agri_female,94.54,94.43,94.3,94.17,94.3,94.12,94.05,93.99,94.01,93.87,93.59,93.22,92.71,92.13,91.52,90.93,90.42,89.67,88.84,87.99,86.99,85.91,82.73,78.41,76.68,75.22,73.57,72.17,70.98,,
SAU,employment_agri_female,0.4,0.36,0.41,0.47,0.55,0.63,0.73,0.84,0.97,2.31,0.78,0.6,0.55,0.49,0.45,0.41,0.42,0.05,0.15,0.17,0.19,0.21,0.23,0.28,0.55,0.12,0.24,0.47,0.33,,
SDN,employment_agri_female,67.18,67.18,66.82,66.55,66.38,66.08,66.19,65.85,65.39,65.07,64.66,64.3,64.02,63.32,63.01,62.84,62.67,62.24,61.52,60.49,60.56,60.03,59.17,58.09,57.14,56.15,54.99,53.48,51.83,,
SEN,employment_agri_female,47.88,47.71,47.5,47.3,46.79,46.41,45.97,45.33,44.61,43.95,43.16,42.89,41.67,40.77,39.59,38.88,37.92,36.67,35.59,34.47,33.72,32.4,31.28,29.92,28.68,27.64,26.56,25.59,24.75,,
SGP,employment_agri_female,0.12,0.09,0.05,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.01,,
SLB,employment_agri_female,55.7,55.52,55.39,54.79,54.64,54.12,54.06,53.21,52.93,53.35,51.4,52.99,53.58,52.69,50.6,49.48,49.0,47.38,47.05,46.48,44.59,43.44,42.5,41.72,40.7,40.03,39.22,38.34,37.62,,
SLE,employment_agri_female,76.11,76.26,76.0,75.8,75.81,75.45,75.38,74.98,74.74,74.05,74.23,72.73,71.91,71.06,70.31,69.36,67.94,66.56,65.21,63.87,62.17,60.14,57.8,55.84,55.76,54.61,53.36,52.47,51.47,,
SLV,employment_agri_female,6.82,6.7,6.88,6.75,6.45,6.23,6.25,6.31,4.67,3.76,4.08,2.61,3.84,3.38,4.78,4.7,3.83,4.77,4.76,5.36,6.64,5.09,4.55,4.11,3.89,4.07,3.96,3.46,3.44,,
SMR,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,employment_agri_female,89.03,89.17,89.1,89.34,89.29,89.12,89.16,89.06,88.92,88.77,88.6,88.37,88.14,87.92,87.71,87.5,87.06,86.87,86.67,86.47,86.26,86.05,85.8,85.51,85.14,84.81,84.57,84.24,83.89,,
SRB,employment_agri_female,30.25,30.54,31.0,30.77,29.95,29.38,28.81,28.43,27.82,26.9,25.7,25.31,24.64,24.13,23.32,19.21,19.52,25.97,23.03,21.01,19.41,18.97,19.81,17.82,16.32,16.17,14.93,13.64,13.27,,
SSD,employment_agri_female,81.46,81.32,81.15,80.98,80.83,80.68,80.54,80.39,80.23,80.04,79.79,79.52,79.25,78.95,78.68,78.41,78.12,77.82,77.53,77.09,76.86,76.41,75.28,75.34,75.67,75.16,74.76,73.71,73.16,,
STP,employment_agri_female,22.78,22.58,22.33,22.07,21.78,21.46,21.1,20.69,20.2,19.68,18.38,17.85,17.11,17.37,15.6,14.97,14.46,13.92,13.36,12.78,12.26,11.76,11.22,10.71,10.25,9.8,9.37,8.97,8.56,,
SUR,employment_agri_female,3.19,3.22,2.17,2.28,3.22,1.66,2.86,3.16,3.45,3.37,3.53,4.14,4.35,4.65,4.87,4.97,4.99,5.07,4.82,4.79,4.79,4.72,4.6,4.5,4.5,4.74,4.53,4.44,4.52,,
SVK,employment_agri_female,7.97,7.86,7.67,7.12,6.38,6.38,6.41,5.62,4.76,4.33,3.79,4.29,3.75,2.77,2.63,2.39,2.25,2.18,2.04,1.77,1.43,1.66,1.67,1.69,1.33,1.42,1.37,1.2,1.34,,
SVN,employment_agri_female,10.32,10.24,10.15,11.14,10.7,9.64,12.51,12.31,10.96,9.69,9.69,9.67,8.31,9.74,9.09,9.23,10.22,8.39,8.99,8.52,7.93,7.85,8.19,9.62,7.11,4.16,4.82,4.95,3.48,,
SWE,employment_agri_female,2.01,1.96,1.91,1.82,1.72,1.72,1.67,1.52,1.51,1.43,1.23,1.24,1.1,1.05,1.05,0.99,0.95,0.86,0.97,0.96,0.9,0.99,0.98,0.91,1.02,1.0,1.02,0.84,0.7,,
SWZ,employment_agri_female,22.95,22.76,22.47,22.23,21.9,21.58,21.19,20.83,20.43,19.87,19.31,18.74,18.17,17.58,16.95,16.34,15.75,15.25,14.72,14.22,13.73,13.19,12.71,12.24,11.75,11.34,10.93,10.52,10.1,,
SYC,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,employment_agri_female,52.88,52.84,51.95,56.09,59.79,58.13,56.0,53.59,50.2,62.01,58.07,53.7,49.01,43.34,37.64,31.81,26.32,22.43,18.54,15.32,12.41,11.21,9.88,8.98,8.37,7.93,7.51,7.21,6.85,,
TCD,employment_agri_female,85.93,85.58,86.06,85.36,85.25,84.96,84.52,84.06,84.0,83.86,83.14,82.66,81.58,80.54,79.61,79.33,79.03,78.61,77.92,76.57,76.91,76.1,75.21,74.6,74.11,74.13,74.08,73.83,73.39,,
TGO,employment_agri_female,50.92,50.85,50.82,50.59,50.04,49.41,48.61,48.94,48.53,48.44,48.1,47.42,46.75,46.52,46.25,45.78,45.53,44.58,43.79,43.02,42.29,41.32,40.44,39.51,35.83,32.09,28.49,27.65,26.87,,
THA,employment_agri_female,60.82,62.09,57.51,57.03,53.44,51.59,51.49,50.09,46.97,47.55,43.67,41.57,39.35,37.09,36.73,37.69,37.55,37.58,36.55,36.06,39.2,40.37,39.25,31.15,29.82,28.42,28.49,29.19,28.27,,
TJK,employment_agri_female,77.63,77.67,77.72,77.82,77.75,77.55,77.68,78.04,77.91,77.86,77.62,77.31,76.89,76.34,75.07,74.05,72.93,71.56,70.02,69.31,68.35,67.56,66.67,65.61,64.52,63.49,62.27,61.2,60.05,,
TKM,employment_agri_female,25.72,28.14,27.5,26.42,28.54,29.39,28.05,27.27,27.64,27.81,27.57,28.14,28.19,28.03,27.63,27.6,26.76,28.06,27.39,26.48,26.22,25.52,24.65,23.76,22.6,21.78,20.78,19.7,18.68,,
TLS,employment_agri_female,64.16,63.77,63.36,62.83,62.37,61.85,61.73,62.17,63.01,60.07,57.1,56.7,56.51,56.85,54.97,56.07,55.33,54.01,52.25,50.91,49.36,48.23,46.16,44.89,42.83,40.98,40.44,40.01,39.17,,
TON,employment_agri_female,5.08,5.47,5.75,5.45,5.24,5.2,5.05,4.91,4.78,4.4,4.1,3.95,3.91,3.83,3.47,3.16,3.08,2.72,2.54,2.44,2.34,2.22,2.13,2.1,2.0,1.82,1.7,1.58,1.52,,
TTO,employment_agri_female,6.51,5.54,5.74,6.27,5.1,4.64,4.06,3.49,2.92,2.95,3.25,2.1,2.08,2.05,1.73,2.02,1.83,1.86,1.91,1.93,1.96,1.39,1.27,1.27,1.38,1.6,1.46,1.39,1.34,,
TUN,employment_agri_female,24.15,24.14,24.03,23.9,23.76,23.66,23.49,23.27,23.01,22.65,22.22,21.87,21.41,20.9,20.76,21.54,20.38,18.62,19.57,20.11,14.93,15.52,11.8,10.49,9.61,10.75,9.94,9.45,8.96,,
TUR,employment_agri_female,49.12,49.21,50.29,49.1,48.79,48.37,48.52,47.83,47.17,47.22,46.6,45.53,45.08,45.1,44.3,43.54,42.6,40.26,37.79,39.2,39.27,37.1,35.56,32.77,31.0,28.59,28.21,26.03,25.05,,
TUV,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,employment_agri_female,87.65,87.61,87.54,87.45,87.27,87.05,86.84,86.59,86.19,85.7,84.94,83.49,81.91,80.09,78.23,76.12,75.77,75.19,74.59,74.02,73.33,72.57,71.75,70.88,70.0,69.12,68.16,67.45,66.71,,
UGA,employment_agri_female,79.68,79.49,79.38,79.05,78.79,78.58,78.29,78.01,77.58,77.34,77.06,76.62,76.01,75.61,75.1,74.55,74.13,73.46,72.73,72.5,71.72,71.17,77.16,77.43,77.27,77.35,77.34,77.17,76.77,,
UKR,employment_agri_female,26.0,26.15,26.42,26.47,26.54,26.6,26.38,26.37,26.34,26.03,25.67,25.21,24.54,23.89,23.19,22.43,21.8,21.2,20.74,19.62,19.72,19.13,19.25,12.96,13.13,13.17,13.05,12.05,11.41,,
URY,employment_agri_female,5.89,5.94,5.94,5.93,5.93,5.91,5.88,5.83,5.77,5.69,5.58,5.44,5.3,5.13,5.11,4.99,4.69,4.71,4.86,5.1,4.8,4.02,4.3,4.2,4.46,3.93,3.87,3.74,3.84,,
USA,employment_agri_female,1.05,1.04,1.02,1.01,0.99,0.97,0.95,0.92,0.9,0.86,0.83,0.84,0.81,0.78,0.75,0.74,0.65,0.69,0.68,0.74,0.77,0.76,0.67,0.7,0.76,0.77,0.75,0.76,0.76,,
UZB,employment_agri_female,41.13,40.5,40.59,40.58,40.31,40.6,40.68,39.8,38.53,37.63,36.55,35.39,34.2,33.03,31.73,30.42,29.05,27.65,26.23,24.8,25.2,24.63,25.38,25.85,25.98,25.79,25.87,24.92,23.79,,
VCT,employment_agri_female,13.96,13.24,12.65,11.95,11.38,10.77,10.18,9.62,9.08,8.54,8.03,7.74,7.51,7.26,7.0,6.81,6.6,6.33,6.06,5.84,5.59,5.4,5.22,5.05,4.87,4.73,4.56,4.42,4.25,,
VEN,employment_agri_female,2.18,2.02,1.86,2.4,1.93,1.81,1.53,1.37,1.71,1.7,1.69,1.84,2.17,2.07,2.15,1.86,1.76,1.78,1.64,1.56,1.49,1.42,1.35,1.27,1.2,1.14,1.06,0.99,0.92,,
VNM,employment_agri_female,70.87,69.89,68.98,68.14,67.42,66.93,66.02,65.6,65.45,66.28,64.96,63.13,61.71,59.99,56.96,53.78,51.48,50.96,50.02,51.19,50.95,49.51,48.78,48.13,45.45,43.48,41.47,39.9,38.3,,
VUT,employment_agri_female,74.46,74.4,74.53,74.28,74.4,74.3,74.03,73.58,73.44,72.91,72.91,73.05,72.23,71.69,70.74,69.88,68.01,65.55,62.3,66.17,65.94,65.08,64.03,63.53,61.64,60.06,59.11,57.92,56.79,,
WSM,employment_agri_female,21.92,21.76,21.49,21.65,20.76,20.26,20.22,19.32,18.55,17.98,17.32,15.59,13.71,12.55,11.15,9.94,9.5,9.36,9.34,8.77,8.44,8.34,8.28,7.84,7.58,7.31,7.13,6.9,6.64,,
YEM,employment_agri_female,84.82,86.06,86.95,87.73,84.95,81.61,77.66,73.21,68.43,63.95,58.73,53.19,47.48,41.71,39.8,37.51,35.17,33.02,30.61,28.39,32.86,38.79,45.44,51.54,47.91,45.87,44.3,43.34,42.28,,
ZAF,employment_agri_female,9.78,9.76,9.65,9.52,9.44,9.25,9.08,8.88,8.63,8.3,7.64,6.9,6.41,5.89,5.39,4.91,4.46,4.12,3.62,3.77,3.45,3.59,3.49,3.2,4.23,3.88,3.77,3.88,3.79,,
ZMB,employment_agri_female,78.93,78.65,78.39,78.4,78.17,77.93,77.65,77.4,77.71,78.04,78.38,78.68,78.97,79.25,79.54,79.55,79.5,79.41,76.13,72.38,68.05,63.16,61.31,59.82,58.46,57.25,56.34,55.5,54.66,,
ZWE,employment_agri_female,72.51,72.62,72.23,71.72,71.58,70.81,70.44,70.2,69.74,69.93,69.53,69.9,70.8,71.8,72.24,71.79,71.69,72.71,72.32,71.63,71.65,71.38,71.68,71.62,71.29,70.93,70.25,69.54,69.48,,
AFG,employment_agri_male,61.12,61.4,62.24,62.37,62.16,62.55,62.86,63.08,63.31,63.65,64.02,61.97,61.15,60.51,59.3,58.39,57.29,56.36,53.89,51.39,50.2,47.81,45.88,44.09,42.3,40.66,38.36,37.26,36.6,,
AGO,employment_agri_male,34.15,33.54,33.64,33.03,32.58,31.99,31.84,32.07,30.66,30.19,30.44,29.22,28.98,28.15,30.15,32.64,35.02,37.56,40.2,42.54,44.52,44.1,43.99,44.15,44.54,44.8,44.8,44.75,44.65,,
ALB,employment_agri_male,51.61,52.63,52.14,51.59,50.84,49.0,48.72,47.94,46.31,44.92,42.96,41.7,40.94,39.78,38.56,37.43,36.68,35.75,35.05,34.26,38.81,37.59,37.57,36.76,36.74,36.29,34.96,33.72,32.71,,
AND,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,employment_agri_male,9.5,9.41,9.29,9.18,9.03,9.04,9.02,8.98,8.98,8.96,8.24,7.59,6.96,6.39,5.86,5.38,4.92,4.51,4.12,3.79,3.48,3.18,2.9,2.64,2.38,2.16,1.94,1.76,1.67,,
ARG,employment_agri_male,0.48,0.46,0.55,0.59,0.79,1.13,1.16,1.14,1.1,0.98,1.22,1.35,1.69,1.86,1.66,1.44,1.61,1.77,1.82,1.88,0.88,0.84,0.89,0.82,0.39,0.19,0.09,0.12,0.08,,
ARM,employment_agri_male,40.16,41.28,41.85,41.64,41.27,40.97,40.69,39.97,39.49,38.81,37.78,36.52,35.12,34.05,32.79,31.37,30.16,31.71,34.14,31.64,33.14,31.34,29.04,29.94,31.23,30.76,28.31,23.4,21.69,,
ATG,employment_agri_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,employment_agri_male,6.44,6.11,6.21,5.92,5.74,5.94,6.0,5.91,6.03,5.96,5.79,5.45,4.94,4.58,4.49,4.27,4.17,4.19,4.08,4.01,3.59,3.54,3.41,3.62,3.31,3.43,3.41,3.44,3.29,,
AUT,employment_agri_male,7.0,6.88,6.74,6.61,6.69,6.55,6.25,5.91,5.68,5.8,5.43,5.5,5.28,4.93,5.27,5.21,5.45,5.27,5.43,5.4,5.18,5.05,4.92,5.08,4.82,4.72,4.15,4.05,4.07,,
AZE,employment_agri_male,37.47,37.77,37.72,39.21,39.82,40.02,38.86,37.93,37.7,36.56,37.48,40.94,40.92,40.91,41.1,36.09,35.31,38.56,32.53,32.41,32.19,31.74,31.06,31.2,30.98,30.95,30.91,30.91,30.57,,
BDI,employment_agri_male,86.92,86.93,86.99,87.01,87.15,87.4,87.4,87.15,86.77,86.37,85.93,85.46,84.99,84.84,84.16,83.57,82.84,82.27,81.58,80.9,80.14,79.32,78.59,77.77,77.93,77.97,78.05,78.07,78.1,,
BEL,employment_agri_male,3.28,3.16,3.07,3.37,3.08,3.14,3.05,2.7,2.69,2.43,1.69,2.3,2.22,2.71,2.47,2.48,2.29,1.97,1.89,1.73,1.64,1.57,1.8,1.55,1.56,1.68,1.55,1.3,1.17,,
BEN,employment_agri_male,55.63,55.53,55.48,54.88,54.75,54.71,54.51,54.43,54.14,53.81,53.48,53.3,52.99,52.88,52.71,52.49,52.09,51.74,51.5,51.2,50.81,50.35,49.66,49.06,48.69,48.54,47.95,47.25,46.49,,
BFA,employment_agri_male,91.57,91.47,91.32,91.14,90.26,89.26,88.09,86.91,85.4,83.9,82.28,80.42,78.17,75.69,73.11,69.95,66.57,63.39,59.43,55.14,50.58,45.98,41.36,36.85,35.52,33.98,32.4,30.78,30.07,,
BGD,employment_agri_male,64.01,63.38,62.62,61.82,60.8,59.74,60.2,60.46,60.66,60.73,57.91,55.06,52.0,48.83,45.42,42.04,41.73,41.5,41.36,41.03,39.95,38.87,37.87,36.84,35.73,34.65,32.56,31.29,30.14,,
BGR,employment_agri_male,21.31,20.74,20.06,19.4,18.43,17.47,18.53,16.66,16.32,15.42,12.02,13.02,13.59,12.89,10.74,9.83,9.17,8.9,8.58,8.22,8.53,8.38,8.65,9.18,9.09,8.94,9.17,8.6,8.63,,
BHR,employment_agri_male,2.89,2.78,2.68,2.57,2.48,2.39,2.29,2.21,2.12,2.03,1.94,1.88,1.82,1.75,1.68,1.6,1.53,1.46,1.42,1.35,1.36,1.36,1.36,1.35,1.35,1.3,1.25,1.2,1.16,,
BHS,employment_agri_male,8.51,8.45,8.93,8.64,7.15,8.09,5.46,5.51,6.74,6.77,6.78,5.6,5.18,8.06,6.33,4.36,4.17,4.91,5.03,4.72,4.6,4.6,4.51,4.35,4.25,4.12,4.05,3.99,3.89,,
BIH,employment_agri_male,33.92,33.93,33.73,32.84,31.56,29.8,27.93,26.42,25.01,23.64,23.02,22.2,21.52,21.12,20.41,19.77,19.02,19.65,18.57,17.9,18.8,19.31,18.65,16.8,17.41,18.07,16.72,15.52,16.44,,
BLR,employment_agri_male,19.31,19.92,19.83,20.02,20.59,20.59,20.22,19.86,19.82,19.49,18.83,18.5,17.84,17.25,16.61,16.04,15.44,14.91,14.62,14.13,13.69,13.44,13.16,12.96,12.8,12.87,14.17,14.89,14.55,,
